Country/Region,confirmed_growth_rate,deaths_growth_rate,mortality,population_density,life_expectancy,median_age,smoking,population_over_60_years,hospital_beds_per_1000,healthcare_expenditure,govt_health_expenditure_per_capita,total_health_expenditure_per_capita,access_to_sanitation_facilities,GDP/Capita,Cases/100000,Deaths/100000
Afghanistan,12.819234580223892,12.254382828129451,3.296703296703297,58.3,64.4,18.6,21.30597014925373,4.28,0.5,10.2,5.18,44.5,43.4,1691.516709511568,2.8071979434447303,0.09254498714652956
Albania,13.879398830601964,8.066190358520187,4.269293924466338,107.0,78.6,38.0,28.7,21.1,2.9,6.7,225.0,577.0,97.7,10659.722222222223,21.145833333333332,0.9027777777777778
Algeria,14.949299922961323,15.67802885914471,13.945215225898258,18.2,78.3,29.1,15.6,10.1,1.9,6.65,257.0,330.0,87.6,10911.161731207289,6.403189066059226,0.8929384965831435
Andorra,13.760258876098996,12.353641361300394,5.160390516039052,164.0,82.7,30.39408284023669,33.5,13.2603550295858,2.5,10.4,2280.0,3260.0,100.0,35316.94695989651,927.5549805950841,47.86545924967658
Angola,10.109447402050908,0.0,8.333333333333332,26.3,65.4,16.8,21.30597014925373,4.15,0.8,2.88,139.0,168.0,49.9,4620.060790273556,0.0729483282674772,0.0060790273556231
Antigua and Barbuda,8.15415184866346,7.598962472534576,13.043478260869565,239.0,77.4,32.1,21.30597014925373,12.2,3.8,4.31,703.0,991.0,87.5,18692.543411644536,23.493360572012257,3.0643513789581207
Argentina,17.390166534128817,11.728149918164267,4.849884526558892,16.6,77.1,31.9,21.8,15.9,5.0,7.55,703.0,1290.0,94.3,16172.566371681416,6.70575221238938,0.3252212389380531
Armenia,14.949854444300637,12.491299784873956,1.7130620985010707,103.0,76.0,35.7,24.1,18.8,4.2,9.93,96.9,239.0,93.6,7905.405405405405,47.33108108108108,0.8108108108108109
Australia,8.878549343136655,8.42185243719773,1.0233694822055903,3.31,82.8,37.9,14.7,21.9,3.8,9.25,2340.0,3440.0,100.0,38980.39215686275,25.67450980392157,0.2627450980392157
Austria,16.92806077239606,16.315109522351932,3.3012842062798358,107.0,82.1,44.4,29.6,26.5,7.6,10.4,3400.0,4390.0,100.0,40399.55604883463,165.0721420643729,5.449500554938957
Azerbaijan,12.66555559485214,7.776915415201158,1.3513513513513513,122.0,71.2,32.4,20.8,11.7,4.7,6.89,118.0,579.0,92.5,15742.574257425742,14.653465346534654,0.19801980198019803
Bahamas,11.943184748335579,11.029943674476673,13.846153846153847,40.6,74.2,34.3,11.5,15.2,2.9,6.38,907.0,1990.0,94.9,20763.358778625956,16.53944020356234,2.2900763358778624
Bahrain,13.975770276230826,5.399970073941773,0.3547896604156108,2230.0,79.9,32.4,26.4,5.36,2.0,4.87,794.0,1080.0,100.0,33823.529411764706,116.05882352941177,0.4117647058823529
Bangladesh,16.902388755741704,14.373524733860377,3.252513305736251,1300.0,73.9,27.5,23.0,7.91,0.8,2.37,8.07,23.5,48.2,2315.151515151515,2.04969696969697,0.06666666666666667
Barbados,10.591841773227673,9.929912581037946,6.666666666666667,669.0,77.5,39.8,7.8,22.9,5.8,6.96,990.0,1520.0,97.3,14564.45993031359,26.13240418118467,1.7421602787456445
Belarus,17.72827980930638,19.979595929973005,0.8180871634686896,46.4,74.6,40.3,26.7,22.7,11.0,6.32,611.0,786.0,97.8,17142.85714285714,71.14285714285714,0.582010582010582
Belgium,14.586189140175243,19.837435028718463,14.644984861802909,384.0,81.9,41.8,28.2,25.5,6.2,10.0,3010.0,4030.0,99.5,36637.93103448276,353.0689655172414,51.706896551724135
Belize,10.113969000332656,4.4273782427413755,11.11111111111111,17.4,74.5,25.0,21.30597014925373,6.64,1.3,6.12,237.0,378.0,87.9,6984.924623115578,4.522613065326633,0.5025125628140703
Benin,11.383651927546467,0.0,1.8518518518518516,108.0,65.6,18.8,6.4,5.08,0.5,3.86,32.0,65.0,16.5,1380.1652892561983,0.4462809917355372,0.008264462809917356
Bhutan,3.8858528775155055,0.0,0.0,21.9,75.0,28.6,21.30597014925373,8.02,1.7,3.45,239.0,275.0,69.3,7616.580310880829,0.7772020725388601,0.0
Bolivia,14.53666991335143,15.827483686549183,5.68561872909699,10.7,73.6,25.4,21.30597014925373,9.92,1.1,6.86,147.0,233.0,60.7,5256.410256410257,5.111111111111111,0.2905982905982906
Bosnia and Herzegovina,14.522297612432865,13.073690785293435,3.8002980625931446,68.6,77.1,42.5,38.9,24.9,3.5,9.23,597.0,972.0,95.4,10548.780487804877,40.91463414634146,1.5548780487804879
Botswana,8.598073028686205,0.0,5.0,4.26,70.0,25.8,20.0,6.83,1.8,5.46,830.0,1150.0,77.3,13063.829787234043,0.851063829787234,0.0425531914893617
Brazil,20.991467165431587,24.594098817772682,6.362728939854685,25.6,76.1,33.5,13.9,14.0,2.2,11.8,484.0,1030.0,88.3,13661.971830985916,20.22488262910798,1.2868544600938967
Brunei,11.849388892526559,0.0,0.7246376811594203,84.3,75.8,32.4,16.9,9.58,2.7,2.34,1230.0,1450.0,96.3,65446.22425629291,31.57894736842105,0.2288329519450801
Bulgaria,12.990833905409183,9.486910924224802,4.615384615384616,63.9,75.2,44.7,37.0,28.3,6.8,8.23,516.0,947.0,86.0,16834.53237410072,14.028776978417266,0.6474820143884892
Burkina Faso,16.04011983110576,10.952393188965527,6.333333333333334,76.4,62.9,17.6,12.5,3.93,0.4,6.75,47.2,92.6,19.4,1373.2057416267942,2.8708133971291865,0.18181818181818182
Burma,11.01275977983156,7.589865311313337,4.132231404958678,373.27454545454543,73.84035087719299,30.39408284023669,21.30597014925373,13.2603550295858,2.9001156069364162,6.47982456140351,778.9058720930233,1126.8052325581396,75.57691428571428,12667.720981442646,0.27863562245384427,0.011513868696439845
