country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29
Algeria,,,,,,,,,,73.1,73.1,73.1,73.1,73.1,73.1,73.1,73.1,73.1
Angola,,,,,,,,,,,,,14.9,14.9,13.2,13.2,13.2,13.2
Armenia,66.4,67.3,68.2,69,69.9,70.8,71.7,72.6,73.5,74.4,75.2,76.1,77,77,85.4,86.9,88.3,89.7
Bangladesh,,,,,,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,25.7,25.7,25.7,25.7
Barbados,,,,,,,,,86.3,86.3,86.3,86.3,86.3,86.3,,,,
Belize,,,,,,76.6,76.6,76.6,76.6,76.6,78.2,79.9,81.5,83.1,84.8,86.4,88.1,89.7
Benin,0,0,0.12,0.543,0.966,1.39,1.81,2.24,2.66,3.08,3.5,3.93,4.35,4.77,5.2,5.62,6.04,6.04
Bhutan,,,,,,,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,,,
Bolivia,,,,,,,,,,,,,,,19.3,19.3,19.3,19.3
Bosnia and Herzegovina,,,,,,,,,96,96,96,96,96,96,96,96,96,
Burkina Faso,1.5,1.5,1.98,2.45,2.93,3.41,3.88,4.36,4.84,5.31,5.79,6.27,6.75,6.75,6.5,6.84,7.18,7.52
Burundi,,,,,,,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.06,4.07,4.07,4.08
Cambodia,,,,,,,,,59.7,59.7,59.7,59.7,59.7,59.7,59.7,59.7,59.7,59.7
Cameroon,,,,,,,,,,,0.616,0.616,0.616,0.616,2.87,2.87,2.87,2.87
Central African Republic,,,,,,,13,13,13,13,13,13,13,13,13,,,
Chad,,,,,,,,,,,,2.31,2.31,2.31,2.31,2.31,2.31,2.31
Colombia,,,,,,,,,,,,,,,34.8,34.8,34.8,34.8
Comoros,,,,,,,,,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,
"Congo, Dem. Rep.",,,,,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
"Congo, Rep.",,,,,,,,,,,,,,,31.8,31.8,31.8,31.8
Costa Rica,,,,,,,,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,,
Cote d'Ivoire,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Cuba,,,,,,,,,,,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
Dominican Republic,,,,,,,,,,,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
Ecuador,,,,,,,,,,,,,75.8,75.8,75.4,75.4,75.4,75.4
Egypt,51,53.2,55.5,57.8,60.1,62.4,64.7,67,69.3,71.6,73.9,76.2,78.5,80.8,83.1,85.4,87.7,87.7
El Salvador,,,,,,,,,,,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3
Equatorial Guinea,,,,,,,,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,,
Ethiopia,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,4.04,4.04,4.04,4.04
Gambia,,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Ghana,7.08,7.08,7.4,7.71,8.03,8.34,8.66,8.98,9.29,9.61,9.92,10.2,10.6,10.9,36.6,36.6,36.6,36.6
Guatemala,,,,,,,,,,,,69.9,69.9,69.9,69.9,69.9,69.9,69.9
Guinea,,,,,,,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,12.5,12.5,12.5,12.5
Guinea-Bissau,,,,,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
Guyana,,,,,,,,,,,78,78,78,78,78,78,78,78
Haiti,,,,,,,,,17.3,17.3,17.3,17.3,17.3,17.3,16.8,16.5,16.3,16
Honduras,,,,,,,,,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,
India,,,,,,,,,,,,,,,49.3,49.3,49.3,49.3
Indonesia,,,,,,,,,65.7,65.7,65.7,65.7,65.7,65.7,55.3,55.3,55.3,55.3
Iraq,,,,,,,,81,81,81,81,81,81,81,85.7,87.2,88.8,90.3
Jamaica,,,,,,,,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,,
Kazakhstan,,,,,,,,,,,,97,97,97,98.7,98.7,98.7,98.7
Kenya,,,,,,,,,,,9.67,9.67,9.67,9.67,22.1,22.1,22.1,22.1
Kyrgyz Republic,,,,,,,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8
Lao,,,,,,,,,,,,,,,40.6,40.6,40.6,40.6
Lesotho,,,,,,,,,,,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
Liberia,,,,,,,,,,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599
