country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,36.9,37.1,37.2,37.3,37.4,37.6,37.7,37.8,38,37.5,37.6,37.7,37.7
Algeria,,,,,,,,,,83,83.1,83.2,83.3,83.4,83.5,83.6,83.7,83.7
Angola,,,,,,,,,,,,,24.1,24.3,26.2,26.4,26.5,26.7
Armenia,84,84.2,84.5,84.8,85.1,85.4,85.6,85.9,86.2,86.5,86.8,87,87.3,87.3,92.1,92.7,93.4,94
Azerbaijan,,,,,,,,,,,,,,,83.2,83.2,83.2,83.2
Bangladesh,,,,,,38.3,38.5,38.7,38.9,39.1,39.3,39.5,39.7,39.9,34.2,34.4,34.6,34.8
Barbados,,,,,,,,,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,
Belize,,,,,,77.9,77.9,77.9,77.9,77.9,79.4,80.9,82.4,84,85.5,87,88.6,90.1
Benin,1.03,1.38,1.8,2.42,3.04,3.66,4.29,4.92,5.55,6.19,6.83,7.48,8.13,8.79,9.61,10.3,11,11
Bhutan,,,,,,,79.1,79.1,79.2,79.3,79.4,79.5,79.6,79.7,79.8,,,
Bolivia,,,,,,,,,,,,,,,25.3,25.3,25.4,25.4
Bosnia and Herzegovina,,,,,,,,,97,97,97,97,97,97,97.1,97.2,97.2,
Burkina Faso,5.38,5.53,6.07,6.6,7.13,7.66,8.18,8.7,9.21,9.72,10.2,10.7,11.2,11.3,10.9,11.2,11.6,11.9
Burundi,,,,,,,5.9,5.95,6,6.05,6.1,6.15,6.21,6.26,6.13,6.14,6.14,6.14
Cambodia,,,,,,,,,65.2,65.3,65.3,65.4,65.4,65.5,65.9,66,66.1,66.2
Cameroon,,,,,,,,,,,2.57,2.6,2.62,2.64,9.19,9.26,9.33,9.4
Central African Republic,,,,,,,16.4,16.5,16.5,16.5,16.5,16.5,16.5,16.6,16.6,,,
Chad,,,,,,,,,,,,5.69,5.71,5.72,5.74,5.77,5.79,5.82
Colombia,,,,,,,,,,,,,,,65,65.1,65.3,65.4
Comoros,,,,,,,,,15.5,15.5,15.6,15.6,15.6,15.6,15.6,15.6,15.6,
"Congo, Dem. Rep.",,,,,4.12,4.14,4.17,4.19,4.22,4.24,4.27,4.3,4.32,4.35,4.38,4.41,4.44,4.47
"Congo, Rep.",,,,,,,,,,,,,,,47.6,47.7,47.9,48
Costa Rica,,,,,,,,83.7,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,,
Cote d'Ivoire,,,,,,,18.8,19,19.1,19.2,19.4,19.5,19.6,19.8,19.1,19.2,19.3,19.4
Cuba,,,,,,,,,,,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2
Dominican Republic,,,,,,,,,,,54.1,54.3,54.5,54.7,54.8,54.9,55,55.2
Ecuador,,,,,,,,,,,,,85.1,85.1,80.6,80.6,80.6,80.6
Egypt,66,67.5,69,70.5,72,73.5,75,76.5,78,79.5,80.9,82.4,83.9,85.4,86.9,88.3,89.8,89.8
El Salvador,,,,,,,,,,,90.2,90.3,90.3,90.3,90.5,90.6,90.6,90.6
Equatorial Guinea,,,,,,,,22.7,22.7,22.7,22.7,22.7,22.7,22.7,24.6,24.6,,
Ethiopia,,,,,,,,0.859,0.878,0.897,0.917,0.937,0.957,0.978,7.71,7.79,7.87,7.96
Gambia,,,,,6.86,6.95,7.05,7.14,7.23,7.31,7.4,7.48,7.55,7.63,7.64,7.72,7.8,7.88
Ghana,10.1,10.1,10.7,11.3,11.9,12.5,13.1,13.7,14.4,15,15.6,16.3,16.9,17.6,40.9,40.9,41,41
Guatemala,,,,,,,,,,,,76.5,76.6,76.7,76.5,76.6,76.6,76.7
Guinea,,,,,,,8.66,8.67,8.69,8.71,8.73,8.75,8.77,8.79,17.3,17.4,17.4,17.4
Guinea-Bissau,,,,,6.28,6.32,6.35,6.39,6.42,6.46,6.5,6.53,6.57,6.6,6.35,6.37,6.39,6.4
Guyana,,,,,,,,,,,77.1,77.1,77.1,77.1,77.2,77.2,77.2,77.2
Haiti,,,,,,,,,24.2,24.4,24.6,24.8,25,25.2,23.7,23.4,23.2,22.9
Honduras,,,,,,,,,83.8,83.8,83.9,83.9,84,84,84.1,84.1,84.2,
India,,,,,,,,,,,,,,,59.2,59.3,59.4,59.5
Indonesia,,,,,,,,,75.5,75.6,75.8,75.9,76.1,76.2,63.9,64,64.1,64.2
Iraq,,,,,,,,90.9,90.9,90.9,90.9,90.9,91,91,92.8,93.4,94,94.6
Jamaica,,,,,,,,66.3,66.3,66.3,66.4,66.4,66.4,66.4,66.4,66.4,,
Kazakhstan,,,,,,,,,,,,96.4,96.4,96.4,99,99,99,99
Kenya,,,,,,,,,,,13.6,13.7,13.7,13.8,24.5,24.6,24.6,24.7
Kyrgyz Republic,,,,,,,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2
Lao,,,,,,,,,,,,,,,49.3,49.5,49.7,49.8
Lesotho,,,,,,,,,,,1.96,1.99,2.01,2.04,2.05,2.07,2.1,2.12
Liberia,,,,,,,,,,1.15,1.15,1.16,1.16,1.17,1.17,1.18,1.18,1.19
Madagascar,5.3,5.35,5.4,8.13,13.2,18.4,23.6,28.8,34,39.3,44.5,49.8,50,50.1,50.3,50.5,,
Malawi,16.7,16.2,15.8,15.3,14.8,14.4,13.9,13.4,13,12.5,12,11.5,11.1,10.6,10.1,9.66,9.18,8.7
Maldives,,,,,,,,,,,,,,,95.8,95.8,95.8,95.8
Mali,,,,,,,,,,16.2,16.3,16.3,16.3,16.3,51.5,51.7,52,52.2
Marshall Islands,,,,,,,,,,,,,,,82.4,82.4,82.5,82.5
Mauritania,,,,,,16,16.1,16.2,16.3,16.3,16.4,16.5,16.6,16.7,42.3,42.5,42.8,43
Mexico,,,,,,,,,,,,87.7,87.7,87.7,87.8,87.8,87.8,87.8
Moldova,,,,,,,,,87.3,87.2,87.2,87.2,87.2,87.2,87,87,87,
Mongolia,,,,,68.9,69.3,69.6,69.9,70.3,70.6,70.9,71.2,71.5,71.8,71.1,71.1,71.2,71.2
Mozambique,,,,,,,,11.7,11.7,11.7,11.8,11.8,11.8,11.9,12.2,12.2,,
Myanmar,,,,,,,,,,,,,79.7,79.8,79.2,79.2,79.2,79.3
Namibia,,,,,,,,,,41.7,42,42.4,42.7,43.1,43.5,43.9,44.2,44.6
Nepal,,,,,,56.1,56.2,56.3,56.4,56.4,56.5,56.6,56.7,56.8,50.8,49.8,48.8,47.8
Niger,,,9.01,9.04,9.07,9.1,9.14,9.17,9.21,9.26,9.31,,,,,,,
Nigeria,,,,,,12.1,12.2,12.3,12.4,12.5,12.6,12.8,12.9,13,41.4,41.6,41.8,41.9
Pakistan,,,,,,,,,,59.5,59.7,59.8,60,60.1,59.4,59.5,59.5,59.6
Paraguay,,,,,,,,,,,,,,,79.5,79.5,79.6,79.6
Philippines,,,,,,,,,,,,,,,78.4,78.4,78.4,78.5
