country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
Algeria,,,,,,,,,,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9
Angola,,,,,,,,,,,,,37.1,37.1,33.9,33.9,33.9,33.9
Armenia,93.6,93.5,93.5,93.5,93.5,93.5,93.4,93.4,93.4,93.4,93.4,93.4,93.3,93.3,95.9,96.2,96.4,96.6
Bangladesh,,,,,,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,51.1,51.1,51.1,51.1
Barbados,,,,,,,,,89.8,89.8,89.8,89.8,89.8,89.8,,,,
Belize,,,,,,79.4,79.4,79.4,79.4,79.4,80.8,82.2,83.6,85,86.4,87.8,89.2,90.5
Benin,2.68,3.56,4.44,5.31,6.19,7.07,7.95,8.82,9.7,10.6,11.5,12.3,13.2,14.1,15,15.8,16.7,16.7
Bhutan,,,,,,,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,,,
Bolivia,,,,,,,,,,,,,,,28.1,28.1,28.1,28.1
Bosnia and Herzegovina,,,,,,,,,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,
Burkina Faso,23.3,23.3,23.2,23.2,23.2,23.2,23.1,23.1,23.1,23.1,23,23,23,23,22.8,22.8,22.7,22.7
Burundi,,,,,,,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,21.7,21.2,20.8,20.3
Cambodia,,,,,,,,,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2
Cameroon,,,,,,,,,,,4.42,4.42,4.42,4.42,14.6,14.6,14.6,14.6
Central African Republic,,,,,,,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,,,
Chad,,,,,,,,,,,,17.7,17.7,17.7,17.7,17.7,17.7,17.7
Colombia,,,,,,,,,,,,,,,72.8,72.8,72.8,72.8
Comoros,,,,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,
"Congo, Dem. Rep.",,,,,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35
"Congo, Rep.",,,,,,,,,,,,,,,56.1,56.1,56.1,56.1
Costa Rica,,,,,,,,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,,
Cote d'Ivoire,,,,,,,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.4,28.4,28.4,28.4
Cuba,,,,,,,,,,,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9
Dominican Republic,,,,,,,,,,,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4
