country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,29.6,29.6,31.3,33,34.7,36.4,38.1,40.2,42.3,44.4,46.5,48.7,50.9,53.1,55.3,57.6,59.9,62.3
Albania,97,97.1,97.2,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98,98.1,98.2,98.2,98.3,98.3,98.3,98.3
Algeria,91.4,91.2,91.1,91,90.9,90.8,90.7,90.6,90.5,90.3,90.2,90.1,90,89.9,89.8,89.7,89.7,89.7
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,47.5,48.5,49.5,50.5,51.5,52.5,53.4,54.4,55.4,56.4,57.4,58.4,59.4,60.4,61.4,62.3,63.3,64.3
Argentina,89.2,89.7,90.2,90.7,91.3,91.8,92.3,92.8,93.3,93.8,94.4,94.9,95.4,95.8,95.8,95.9,95.9,95.9
Armenia,92.3,92.7,93.2,93.7,94.1,94.6,95,95.5,96,96.4,96.9,97.4,97.8,98.3,98.8,99.3,99.6,99.7
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,73,73.9,74.8,75.7,76.7,78.6,80.5,82.4,84.4,86.3,88.4,90.4,92.4,94.5,95.5,96.4,96.4,96.4
Bangladesh,43.7,44.5,45.3,46.1,46.9,47.2,47.5,47.8,48.1,48.4,48.7,48.9,49.2,49.4,49.6,49.8,50,50.7
Belarus,89.8,89.8,89.8,89.8,90.6,91.3,92.1,92.8,93.6,94.4,95.1,95.9,96.6,97.4,98.2,98.2,98.2,98.2
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Belize,85.4,85.7,86,86.3,86.6,87,87.5,88,88.5,89,89.5,90,90.5,91,91.5,92,92.6,93.1
Benin,19,19.5,19.9,20.4,20.9,21.4,21.9,22.4,22.9,23.4,23.9,24.4,24.9,25.4,26,26.2,26.5,26.5
