country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,39.8,39.8,39.7,39.7,39.7,39.7,39.8,39.8,39.9,39.9,40,40,40.1,40.1,40.2,40.2,40.2,40.2
Algeria,18.1,18,17.9,17.7,17.6,17.5,17.4,17.3,17.2,17.1,17,16.9,16.8,16.7,16.6,16.5,16.5,16.5
Andorra,14.6,21.8,29,36.2,43.3,50.5,57.7,64.9,72.1,79.3,86.5,93.6,100,100,100,100,100,100
Armenia,45.4,45.4,45.4,45.4,45.4,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.4,45.3
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,70.2,71.1,71.9,72.8,73.6,75.4,77.2,79.1,80.9,82.8,84.8,86.7,88.6,90.6,91.6,92.4,92.3,92.2
Belarus,88.5,88.5,88.5,88.5,88.1,87.8,87.5,87.1,86.7,86.3,85.8,85.3,84.8,84.3,83.8,82.6,81.5,81.7
Bolivia,16.2,16.5,16.8,17.1,17.4,17.6,17.9,18.5,19.1,19.7,20.2,20.9,21.5,22.1,22.7,23.4,24,24.7
Bosnia and Herzegovina,6.45,6.26,6.47,6.73,6.99,7.25,7.51,7.78,8.05,8.32,8.59,8.87,9.15,9.49,9.88,10.3,10.8,11.3
Brazil,28.5,28.6,28.7,28.9,29,29.1,29.2,30.9,32.7,34.6,36.5,38.5,40.5,42.6,44.8,47,49.3,51.6
Bulgaria,55.6,55.5,55.4,55.3,55.3,55.2,55.1,55,55,56.9,58.8,60.8,62.8,64.7,66.8,68.8,70.9,72.9
Canada,76.8,76.8,76.8,77.5,78.2,78.8,79.5,80.1,80.8,81.4,82,82.7,82.6,82.6,82.6,82.5,82.5,82.4
Chile,46.7,46.9,47,47.1,49.8,52.6,55.4,58.2,61,63.8,66.7,69.5,72.4,75.3,78.2,81.1,81.2,81.4
China,29.4,30,30.7,34.1,37.5,41,44.4,47.9,51.3,54.8,58.3,61.9,65.4,69,72.6,76.3,80,83.7
Colombia,13.6,13.7,13.8,14,14.1,14.2,14.4,14.5,14.6,14.8,14.9,15,15.2,15.3,15.4,15.6,15.7,15.8
Croatia,64,64,64,64,64.1,64.1,64.1,64.1,64.1,64.1,64.2,64.2,64.2,64.2,64.2,64.2,64.3,64.3
