country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,79.8,80.9,87.7,98.6,111,105,128,144,132,139,144,164,177,184,163
Albania,258,275,293,310,348,364,381,438,451,443,478,568,611,665,770,758,760
Algeria,282,323,332,346,361,355,380,453,511,656,645,684,804,828,930,1020,998
Andorra,3050,3140,3280,3280,3350,3740,3970,4100,3980,3970,3940,4010,4410,4650,4960,5100,4980
Angola,64.9,157,107,121,142,131,142,165,201,205,158,168,162,191,184,196,186
Antigua and Barbuda,579,627,628,688,683,818,956,1070,1130,919,1030,1060,999,1050,1190,1010,976
Argentina,1090,1070,847,867,869,1050,1150,1280,1360,1500,1580,1650,1650,1690,1630,1810,1530
Armenia,151,171,172,198,332,336,313,360,316,297,346,265,513,661,855,883,877
Australia,2150,2270,2430,2550,2750,2830,3010,3180,3300,3560,3600,3770,3790,4180,4310,4420,4530
Austria,2710,2760,2940,3070,3290,3380,3590,3760,4020,4190,4300,4470,4750,4950,5080,5190,5300
Azerbaijan,134,144,161,292,401,521,555,579,548,805,769,732,808,884,983,1220,1190
Bahamas,1050,1070,1130,1170,1270,1330,1590,1670,1700,1660,1700,1750,1420,1400,1380,1340,1440
Bahrain,1270,1340,1360,1450,1300,1220,1200,1330,1330,1600,1530,1440,1710,1900,2040,2330,1870
Bangladesh,27.6,28.6,32.4,34.5,37.4,41.8,46.3,51.8,53.8,58,64.2,71,75.8,77.9,83.2,88,90.6
Barbados,641,662,716,849,965,955,1020,1020,1110,1150,1110,1140,1290,1310,1250,1260,1320
Belarus,329,383,405,457,524,629,658,753,789,813,902,837,933,1040,1020,1110,1150
Belgium,2230,2350,2520,2810,2930,3000,3150,3290,3550,3810,3970,4140,4300,4490,4620,4600,4670
Belize,217,243,230,276,278,295,307,340,355,401,445,438,432,468,476,516,541
Benin,55.9,61.1,59.1,60.4,63.7,62,65.3,67.2,65.2,68.4,72.9,76.9,88.2,78.2,76.8,84.5,83.5
Bhutan,117,138,137,134,159,152,175,188,169,186,201,206,237,255,253,287,293
Bolivia,152,170,176,193,189,207,204,216,226,260,270,283,302,348,385,447,496
Bosnia and Herzegovina,350,347,368,436,536,569,656,755,854,812,839,908,965,1030,1070,1080,1120
Botswana,480,549,420,539,604,543,568,652,756,816,784,857,924,870,889,976,931
Brazil,591,620,778,760,838,903,967,1030,1080,1120,1380,1460,1550,1630,1750,1790,1780
Brunei,1840,1890,1940,2060,2050,1830,1660,1710,1640,2040,1800,1540,1550,1550,1530,1900,1810
Bulgaria,373,470,549,603,631,706,741,785,898,933,1060,1120,1230,1300,1490,1480,1580
Burkina Faso,28.3,29.6,31.1,35.1,49.1,50.1,60.6,74.3,70,77,82.2,76.6,75.8,99.4,93.7,99,116
Burundi,36.9,39,40.7,38.7,49.3,54.3,67.4,74.5,67.4,77.7,84.6,73,64.6,63.8,43.3,38.1,50.3
Cambodia,71.3,83,91.1,94.9,108,120,121,108,156,177,171,199,208,215,220,217,229
Cameroon,82.2,89.8,96.3,102,99.5,104,107,114,124,122,129,101,140,144,153,165,169
Canada,2420,2610,2750,2920,3080,3280,3490,3650,3790,4080,4200,4230,4300,4460,4530,4620,4720
Cape Verde,147,162,170,168,184,198,228,222,205,218,256,258,310,324,330,340,348
Central African Republic,31.3,27.2,31.1,29.8,29.5,34.6,34.4,38.8,33.5,36.6,32.6,34.6,37.1,30,30.8,42.1,29.9
