country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,4.9,,,,,4.76,,,,,4.56,,,,,4.38,,,,,4.19,,,,,4.05,,,,,3.89,,,,,3.65,,,,,3.62,,,,,3.74,,,,,3.65,,,,,3.62,,,,,3.86,,,,,4.01,,,,,4.28,,,,,4.62,,,,,5.07,,,,,5.7,,,,,6.56,,,,,7.63,,,,,8.83,,,,,10.3,,,,,12.3,,,,,14.7,,,,,17.1,,,,,19.1,,,,,21.1,,,,,22.9,,,,,24.5,,,,,26,,,,,27.4
Albania,7.83,,,,,7.22,,,,,7.08,,,,,6.73,,,,,6.73,,,,,6.87,,,,,6.89,,,,,6.99,,,,,8.25,,,,,9.55,,,,,10.6,,,,,12.3,,,,,15,,,,,17.8,,,,,21.1,,,,,24.4,,,,,26.6,,,,,28.5,,,,,30.2,,,,,32.4,,,,,34.1,,,,,36.4,,,,,39.6,,,,,41,,,,,40.9,,,,,41.4,,,,,41.9,,,,,42.4,,,,,42.8,,,,,42.9,,,,,42.7
Algeria,5.14,,,,,5.06,,,,,5.47,,,,,5.42,,,,,5.42,,,,,5.18,,,,,4.91,,,,,4.63,,,,,5.2,,,,,5.63,,,,,6.4,,,,,7.04,,,,,7.81,,,,,8.94,,,,,10.1,,,,,11.6,,,,,13.3,,,,,15.2,,,,,17.7,,,,,20.5,,,,,23,,,,,24.8,,,,,25.4,,,,,25.7,,,,,27,,,,,29.4,,,,,31.2,,,,,32.4,,,,,33.2,,,,,33.8,,,,,34.5
Angola,4.49,,,,,4.3,,,,,4.22,,,,,4.2,,,,,4.22,,,,,4.21,,,,,4.17,,,,,4.08,,,,,4.17,,,,,4.01,,,,,3.86,,,,,3.71,,,,,3.6,,,,,3.91,,,,,4.15,,,,,4.37,,,,,4.58,,,,,4.87,,,,,5.25,,,,,5.64,,,,,6.1,,,,,6.59,,,,,7.17,,,,,7.92,,,,,8.85,,,,,9.81,,,,,10.8,,,,,11.8,,,,,12.8,,,,,13.9,,,,,15
Antigua and Barbuda,4.99,,,,,4.68,,,,,5.46,,,,,5.55,,,,,5.64,,,,,6.49,,,,,6.83,,,,,7.26,,,,,10.7,,,,,10,,,,,8.62,,,,,9.31,,,,,8.92,,,,,10.1,,,,,12.2,,,,,15,,,,,19.1,,,,,21.6,,,,,22.5,,,,,23.8,,,,,24.9,,,,,26.2,,,,,27.7,,,,,28.9,,,,,30.1,,,,,31.1,,,,,32.1,,,,,33.1,,,,,33.9,,,,,34.5,,,,,35
Argentina,6.56,,,,,7.36,,,,,8.25,,,,,9.13,,,,,9.94,,,,,10.5,,,,,10.9,,,,,11.2,,,,,13,,,,,13.3,,,,,13.5,,,,,13.8,,,,,14.4,,,,,15.1,,,,,15.9,,,,,16.6,,,,,17.4,,,,,18.6,,,,,20.4,,,,,21.9,,,,,23.5,,,,,25,,,,,26.2,,,,,27.6,,,,,28.8,,,,,30,,,,,31.1,,,,,32.1,,,,,33.1,,,,,33.9,,,,,34.7
Armenia,11.1,,,,,9.08,,,,,7.46,,,,,7.05,,,,,7.16,,,,,7.28,,,,,6.66,,,,,6.92,,,,,10,,,,,12.6,,,,,15.2,,,,,14.4,,,,,14.8,,,,,15.8,,,,,18.8,,,,,21.3,,,,,22.5,,,,,23.4,,,,,25,,,,,27.8,,,,,31.6,,,,,34.2,,,,,34.9,,,,,35.2,,,,,36.4,,,,,38,,,,,38.9,,,,,39,,,,,38.8,,,,,38.5,,,,,38.6
Australia,11.3,,,,,11.3,,,,,11.1,,,,,10.9,,,,,10.7,,,,,11.4,,,,,12,,,,,12.8,,,,,15.4,,,,,15.8,,,,,16.5,,,,,17.4,,,,,18.9,,,,,20.4,,,,,21.9,,,,,23.5,,,,,24.6,,,,,25.8,,,,,26.4,,,,,27.4,,,,,28.3,,,,,29,,,,,29.4,,,,,29.7,,,,,30.4,,,,,31.2,,,,,32.1,,,,,32.8,,,,,33.5,,,,,34.2,,,,,34.9
Austria,14.3,,,,,15.2,,,,,16.4,,,,,17.4,,,,,17.9,,,,,17.9,,,,,16.3,,,,,16.6,,,,,20.1,,,,,19.7,,,,,20.5,,,,,22.1,,,,,23.3,,,,,24.3,,,,,26.5,,,,,29.5,,,,,32.4,,,,,34,,,,,34.9,,,,,36.2,,,,,37.3,,,,,38,,,,,37.8,,,,,37.5,,,,,37.2,,,,,37.1,,,,,37.3,,,,,37.5,,,,,37.7,,,,,37.9,,,,,38.2
Azerbaijan,9.1,,,,,7.77,,,,,7.25,,,,,6.91,,,,,6.68,,,,,6.65,,,,,5.95,,,,,5.86,,,,,7.93,,,,,8.61,,,,,9.28,,,,,8.52,,,,,8.11,,,,,9.27,,,,,11.7,,,,,14.8,,,,,17,,,,,18.5,,,,,19.8,,,,,22,,,,,24.7,,,,,26.9,,,,,27.5,,,,,27.4,,,,,27.6,,,,,29.3,,,,,30.6,,,,,31.2,,,,,31.5,,,,,32,,,,,32.6
