country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,21.8,21.8,22.7,23.7,24.6,25.6,26.5,27.5,28.4,29.4,30.3,31.3,32.3,33.2,34.2,35.1,36.1,37.1
Albania,82.1,83.2,84.3,85.4,86.4,87.5,88.6,89.7,90.8,91.9,92.9,94,95.1,96.2,96.9,96.9,96.9,96.9
Algeria,72.3,73,73.6,74.3,75,75.6,76.3,76.9,77.6,78.3,78.9,79.6,80.2,80.9,81.6,82.2,82.2,82.2
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,7.53,8.45,9.38,10.3,11.2,12.1,13.1,14,14.9,15.8,16.8,17.7,18.6,19.5,20.5,21.4,22.3,23.2
Argentina,68.7,69.4,70.1,70.7,71.4,72.1,72.7,73.4,74.1,74.8,75.4,76.1,76.8,76.8,76.8,76.8,76.8,
Armenia,77,77.4,77.8,78.1,78.5,78.8,79.2,79.6,79.9,80.3,80.6,81,81.4,81.7,82.1,82.5,82.8,83.2
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,52.9,55.1,57.3,59.5,61.6,64,66.3,68.7,71.1,73.5,75.9,78.3,80.7,83.2,85.4,87.6,87.6,87.6
Bangladesh,20.1,21.4,22.8,24.1,25.4,27,28.6,30.2,31.8,33.4,35.1,36.7,38.4,40.1,41.9,43.6,45.4,46.9
Belarus,96,96,96,96,96,96.1,96.1,96.1,96.2,96.2,96.2,96.3,96.3,96.4,96.4,96.3,96.3,96.3
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Belize,80,80.3,80.7,81,81.4,81.6,81.7,81.9,82.1,82.2,82.4,82.6,82.7,82.9,83,83.2,83.3,83.5
Benin,2.13,2.39,2.67,2.97,3.28,3.6,3.94,4.29,4.66,5.05,5.45,5.86,6.29,6.74,7.2,7.41,7.62,7.62
Bhutan,41.5,41.5,43.1,44.7,46.3,47.9,49.5,51.1,52.7,54.2,55.8,57.4,59,60.6,62.2,63.8,65.4,67
Bolivia,15,16,17.1,18.2,19.2,20.3,21.3,22.6,23.8,25.1,26.4,27.8,29.1,30.5,31.8,33.2,34.6,36.1
