country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,37.8,37.4,37.1,36.8,36.5,36.2,35.8,35.5,36,36.6,37.2,37.8,38.4,38.9,39.4,39.4,39.4,39.4
Algeria,19.2,19.3,19.4,19.5,19.6,19.8,19.9,20,20.1,20.2,20.3,20.4,20.5,20.6,20.7,20.8,20.8,20.8
Andorra,14.6,21.8,29,36.2,43.3,50.5,57.7,64.9,72.1,79.3,86.5,93.6,100,100,100,100,100,100
Austria,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3
Bangladesh,13.8,14.7,15.6,16.6,17.5,18.6,19.6,20.7,21.9,23,24.1,25.3,26.4,27.6,28.8,30,31.2,32.3
Belarus,93.9,93.9,93.9,93.9,92.7,91.4,90.1,88.8,87.5,86.1,84.7,83.3,81.9,80.4,78.9,77.8,76.6,76.4
Canada,76.7,76.7,76.7,77.4,78,78.7,79.3,79.9,80.4,81,81.6,82.2,82.1,82.1,82,81.9,81.8,81.7
China,25,24.9,25.6,26.4,27.5,28.7,30,31.6,33.3,35.1,37.1,39.3,41.6,44.2,46.9,49.9,52.9,56.1
Czech Republic,76,76,76,76,76.7,77.3,78,78.7,79.4,80.1,80.8,81.5,82.2,82.9,83.6,84.3,85,85.1
Djibouti,11.6,11.6,11.6,11.6,11.6,12.2,12.7,13.3,13.8,14.4,15,15.5,16.1,16.7,17.2,17.8,18.4,18.9
Ecuador,43.1,44,44.8,45.7,46.6,47.4,48.2,49,49.8,50.7,51.5,52.3,53.1,53.9,54.7,55.5,56.3,57.2
Estonia,93.4,93.4,93.5,93.4,93.5,93.6,93.6,93.7,93.7,93.8,93.9,93.9,94,94.1,94.1,94.2,94.4,94.4
Ethiopia,1.01,1.21,1.41,1.6,1.78,1.96,2.13,2.3,2.47,2.63,2.79,2.95,3.1,3.25,3.4,3.54,3.68,3.81
Germany,90.3,90.3,90.3,90.3,90.4,90.5,90.6,90.8,90.9,91,91.1,91.3,91.4,91.5,91.6,91.8,91.8,91.8
Hungary,98.3,98.3,98.3,98.3,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2
India,1.63,2.88,4.15,6.67,9.24,11.4,13.6,15.8,18.1,20.3,22.6,24.9,27.2,29.5,31.9,34.3,36.6,39
Iraq,31.3,32.2,33,33.9,34.7,35.4,36.2,36.9,37.7,38.4,39.2,40,40.8,41.6,42.4,43.3,44.1,45
Ireland,63.1,63.6,64.1,64.7,65.2,65.8,66.4,67,67.6,68.2,68.8,69.5,70.1,70.8,71.5,72.1,72.1,72.1
Israel,78,78.8,79.6,80.4,81.2,82,82.8,83.6,84.5,85.3,86.1,86.9,87.7,88.5,89.3,90.2,91,91.8
Italy,,,,,,,96,96,96,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1
Lao,15,17.7,20.2,22.6,25.1,27.5,29.9,32.3,34.7,37.1,39.5,41.8,44.2,46.5,48.8,51.2,53.5,55.8
Latvia,64.5,64.5,65.1,65.8,66.3,66.9,67.7,68.5,69.3,70.1,70.9,71.7,72.6,73.4,74.2,75.2,75.8,76.5
Lithuania,65.2,66.3,67.3,68.4,69.5,70.5,71.6,72.6,73.7,74.7,75.8,76.9,77.9,79,80.1,81.1,82.2,83.3
Luxembourg,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,85.3,85.8,86.3,86.8,87.3,87.8,88.3,88.8,89.3
Mali,7.48,8.27,9.08,9.94,10.8,11.7,12.7,13.7,14.7,15.8,16.9,18,19.2,20.4,21.7,23,24.2,25.5
Malta,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
Mozambique,1.65,2.4,3.18,3.98,4.78,5.6,6.42,7.26,8.11,8.97,9.85,10.7,11.6,12.5,13.5,14.4,15.3,16.3
Netherlands,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4
Niger,0.959,1.43,1.9,2.37,2.81,3.2,3.58,3.94,4.3,4.64,4.97,5.28,5.58,5.87,6.15,6.41,6.66,6.9
Nigeria,25.1,24.9,25,24.9,24.9,24.9,24.8,24.8,24.7,24.7,24.6,24.5,24.4,24.3,24.2,24.1,24,23.9
North Korea,,,23.8,23.8,23.8,23.8,23.8,23.8,22,20.2,18.4,16.5,14.7,12.8,10.9,8.99,7.07,5.14
Paraguay,36.4,38.2,40,41.7,43.5,45.3,47,48.8,50.6,52.3,54.1,55.8,57.6,59.3,61.1,62.8,64.6,66.2
Philippines,35.7,36.3,36.9,37.5,38.1,38.7,39.3,40.2,41.1,42,42.9,43.9,44.8,45.7,46.7,47.6,48.6,49.6
Russia,38.9,39.9,40.8,41.7,42.7,43.6,44.5,45.5,46.4,47.4,48.4,49.3,50.3,51.3,52.3,53.2,54.2,55.2
Samoa,52,52,52,52,52,52,52.1,52.2,52,51.9,51.8,51.7,51.5,51.4,51.3,51.1,51,50.9
Senegal,13.4,13.8,14.3,14.7,15.1,15.6,16,16.5,16.9,17.4,17.8,18.3,18.8,19.2,19.7,20.2,20.6,21.1
Sierra Leone,4.52,4.71,4.91,5.11,5.33,5.56,5.78,6.01,6.24,6.47,6.71,6.94,7.18,7.42,7.67,7.91,8.16,8.41
Slovak Republic,76.6,76.6,76.6,76.6,76.6,76.5,76.4,76.4,76.3,76.2,76.2,76.1,76,76,75.9,75.9,75.8,75.7
Spain,93.5,93.5,93.5,93.5,93.7,93.9,94.2,94.5,94.8,95,95.3,95.6,95.9,96.2,96.4,96.6,96.7,96.7
Sweden,87.4,87.4,87.5,87.5,87.5,87.5,87.6,87.6,87.6,87.6,87.7,87.7,87.7,87.7,87.8,87.8,87.8,87.8
Switzerland,98.2,98.1,98,98.1,98.2,98.3,98.4,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5
Tanzania,2.36,3.65,4.94,6.23,7.5,8.76,10,11.3,12.5,13.8,15,16.1,17.2,18.2,19.3,20.3,21.4,22.4
Tuvalu,,4.3,4.3,4.3,4.3,4.3,4.99,5.68,6.37,7.06,7.75,8.44,9.14,9.77,9.72,9.72,9.72,9.72
United Kingdom,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8
