country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,34.8,,,,,32.7,,,,,31.2,30.7,30.2,29.8,29.5,29.1,28.7
Algeria,16.6,,,,,15.5,,,,,15.2,15.2,15.3,15.3,15.4,15.5,15.6
Andorra,37.4,,,,,36,,,,,34.8,34.5,34.2,34.1,33.9,33.7,33.5
Argentina,41.4,,,,,33.7,,,,,27.5,26.3,25.4,24.4,23.5,22.5,21.8
Armenia,31.8,,,,,30.3,,,,,29.3,28.7,27.5,26.5,25.5,24.5,24.1
Australia,24.5,,,,,20.9,,,,,17.8,17.2,16.7,16.2,15.7,15.2,14.7
Austria,49.1,,,,,41.9,,,,,35.7,34.6,33.6,32.4,31.4,30.6,29.6
Azerbaijan,26.7,,,,,24.7,,,,,22.9,22.4,22.2,21.8,21.5,21.3,20.8
Bahamas,10.6,,,,,10.7,,,,,10.9,11,11.1,11.2,11.2,11.4,11.5
Bahrain,22.4,,,,,23.7,,,,,25,25.2,25.4,25.6,25.8,26,26.4
Bangladesh,31.4,,,,,28.2,,,,,25.3,24.8,24.4,24,23.5,23.2,23
Barbados,8.3,,,,,8,,,,,7.9,7.9,7.9,7.9,7.8,7.8,7.8
Belarus,36.7,,,,,33.1,,,,,29.9,29.4,28.8,28.2,27.7,27.2,26.7
Belgium,37.4,,,,,34.1,,,,,31.1,30.6,30.1,29.6,29.1,28.6,28.2
Benin,9.1,,,,,8.1,,,,,7.2,7.1,6.9,6.8,6.7,6.5,6.4
Bosnia and Herzegovina,47.7,,,,,44.3,,,,,41.7,41.2,40.7,40.2,39.7,39.4,38.9
Botswana,19.5,,,,,19.5,,,,,19.7,19.7,19.7,19.7,19.7,19.7,20
Brazil,25.2,,,,,20.8,,,,,17.2,16.7,16,15.5,14.9,14.3,13.9
Brunei,17,,,,,16.8,,,,,16.9,17,16.9,16.9,16.9,16.9,16.9
Bulgaria,52,,,,,46.4,,,,,41.8,40.9,39.9,39.3,38.5,37.7,37
Burkina Faso,17.2,,,,,15,,,,,13.6,13.3,13.2,13,12.8,12.7,12.5
Cambodia,30.1,,,,,25.1,,,,,21,20.3,19.7,18.9,18.3,17.7,17.2
Canada,28.2,,,,,22.8,,,,,18.4,17.6,16.9,16.3,15.6,15,14.3
Cape Verde,13,,,,,11.4,,,,,10.2,10,9.8,9.6,9.5,9.3,9.1
Chile,56.6,,,,,49.6,,,,,43.6,42.6,41.5,40.6,39.6,38.7,37.8
China,30.1,,,,,28.5,,,,,27.1,26.7,26.7,26.4,26.1,25.8,25.6
Colombia,20.1,,,,,15.4,,,,,12,11.5,10.9,10.4,9.9,9.5,9
Comoros,21.1,,,,,18.3,,,,,16.1,15.7,15.3,15,14.7,14.4,14
"Congo, Rep.",5.7,,,,,9.1,,,,,14.7,16.1,17.9,19.8,22,24.2,26.9
Costa Rica,18,,,,,15.7,,,,,13.7,13.4,13.1,12.7,12.4,12.1,11.9
Croatia,33.1,,,,,34.3,,,,,35.3,35.6,35.7,36.1,36.4,36.7,37
Cuba,45.7,,,,,41.6,,,,,38.4,37.7,37.2,36.5,36.1,35.9,35.2
Cyprus,42.4,,,,,40.3,,,,,38.3,38,37.5,37.3,36.9,36.7,36.4
Czech Republic,34.1,,,,,34.3,,,,,34.3,34.2,34.3,34.3,34.2,34.3,34.3
