country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,23.5,23.5,24.6,25.8,26.9,28,29.2,30.4,31.7,32.9,34.2,35.5,36.7,38.1,39.4,40.7,42.1,43.4
Albania,88.3,89.1,89.9,90.7,91.4,92.2,92.9,93.6,94.3,94.9,95.6,96.2,96.8,97.3,97.7,97.7,97.7,97.7
Algeria,83.7,84.1,84.4,84.7,85,85.3,85.6,85.8,86.1,86.3,86.6,86.8,87,87.2,87.3,87.5,87.5,87.6
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,27.6,29,30.4,31.9,33.3,34.7,36,37.3,38.5,39.8,41.1,42.3,43.6,44.9,46.1,47.4,48.6,49.9
Antigua and Barbuda,82.4,82.8,83.2,83.6,84,84.4,84.8,85.2,85.5,85.9,86.3,86.7,87.1,87.5,87.5,87.5,87.5,87.5
Argentina,87,87.5,88.1,88.7,89.2,89.8,90.4,90.9,91.5,92.1,92.6,93.2,93.7,94.2,94.2,94.2,94.3,
Armenia,86.9,87.3,87.7,88.1,88.5,88.9,89.3,89.7,90.1,90.5,91,91.4,91.8,92.2,92.6,93.1,93.4,93.6
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,63.2,64.8,66.4,67.9,69.5,71.6,73.8,75.9,78.1,80.3,82.5,84.8,87,89.3,90.9,92.5,92.5,92.5
Bahamas,87.6,88.1,88.6,89.2,89.7,90.2,90.7,91.3,91.8,92.3,92.8,93.4,93.9,94.2,94.6,94.9,94.9,94.9
Bahrain,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100
Bangladesh,25.6,27,28.3,29.7,31,32.4,33.8,35.1,36.5,37.9,39.2,40.5,41.9,43.2,44.5,45.7,47,48.2
Barbados,88.9,89.4,89.9,90.4,90.9,91.4,91.9,92.4,92.9,93.4,93.9,94.4,94.9,95.4,95.9,96.4,96.9,97.3
Belarus,91.7,91.6,91.6,91.6,92.1,92.6,93.2,93.7,94.3,94.8,95.4,96,96.6,97.2,97.8,97.8,97.8,97.8
