country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,38.6,38.4,38.3,38.1,37.9,37.8,37.7,37.6,37.9,38.3,38.6,39,39.3,39.6,39.8,39.8,39.8,39.9
Algeria,18.5,18.5,18.5,18.4,18.4,18.3,18.3,18.2,18.2,18.1,18.1,18,17.9,17.9,17.8,17.7,17.7,17.7
Andorra,14.6,21.8,29,36.2,43.3,50.5,57.7,64.9,72.1,79.3,86.5,93.6,100,100,100,100,100,100
Armenia,47.4,47.5,47.6,47.7,47.8,47.9,48,48,48.1,48.1,48.1,48.2,48.2,48.3,48.3,48.3,48.3,48.2
Australia,64.2,64.2,64.2,64.2,64.2,65.1,66,66.8,67.7,68.6,69.5,70.4,71.2,72.1,73,73.9,74.8,75.6
Austria,96.9,96.9,96.9,96.9,96.8,96.8,96.8,96.8,96.8,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Bahrain,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,96,96,96,96,96,96,96,96,96,96
Belarus,90.1,90.1,90,90,89.4,88.8,88.2,87.6,86.9,86.2,85.5,84.8,84.1,83.4,82.6,81.5,80.4,80.5
Belgium,85.6,85.6,85.6,85.6,86.2,86.9,87.6,88.3,88.9,89.6,90.3,90.9,91.6,92.6,94.8,97.1,97.1,97.1
Bolivia,13,13.4,13.9,14.3,14.7,15.1,15.5,16.1,16.8,17.4,18.1,18.8,19.4,20.1,20.8,21.5,22.2,22.9
Bosnia and Herzegovina,18.8,18.5,18.7,18.8,19,19.1,19.3,19.4,19.6,19.8,19.9,20.1,20.2,20.4,20.6,20.9,21.2,21.6
Brazil,26.6,26.8,27,27.3,27.5,27.7,27.9,29.5,31.2,33,34.8,36.7,38.7,40.7,42.7,44.9,47,49.3
Bulgaria,48.1,48,47.9,47.8,47.6,47.6,47.6,47.6,47.6,49.4,51.2,53,54.8,56.7,58.6,60.5,62.5,64.4
Canada,76.8,76.8,76.8,77.5,78.2,78.8,79.4,80.1,80.7,81.3,82,82.6,82.6,82.5,82.5,82.4,82.4,82.3
